	bray	method	days
XWF1M1R1	0.762962963	aFA	30 days
XWF2M1R1	0.693333333	bGA	30 days
XWF4M1R1	0.51	dF68	30 days
XWF5M1R1	0.656050955	eFA+F68	30 days
XWF6M1R1	0.525252525	fGA+F68	30 days
XWF1M3R1	0.644295302	aFA	90 days
XWF1M3R2	0.738255034	aFA	90 days
XWF1M3R3	0.734693878	aFA	90 days
XWF2M3R1	0.652996845	bGA	90 days
XWF4M3R1	0.562982005	dF68	90 days
XWF4M3R2	0.508379888	dF68	90 days
XWF4M3R3	0.514824798	dF68	90 days
XWF5M3R1	0.728395062	eFA+F68	90 days
XWF5M3R2	0.736263736	eFA+F68	90 days
XWF5M3R3	0.737024221	eFA+F68	90 days
XWF6M3R1	0.697986577	fGA+F68	90 days
XWF6M3R2	0.696969697	fGA+F68	90 days
XWF6M3R3	0.666666667	fGA+F68	90 days
XWF1M6R1	0.642633229	aFA	980 days
XWF1M6R2	0.608938547	aFA	980 days
XWF1M6R3	0.625360231	aFA	980 days
XWF2M6R1	0.630769231	bGA	980 days
XWF2M6R2	0.708860759	bGA	980 days
XWF2M6R3	0.667731629	bGA	980 days
XWF4M6R1	0.569682152	dF68	980 days
XWF4M6R2	0.54587156	dF68	980 days
XWF4M6R3	0.599164927	dF68	980 days
XWF5M6R1	0.723183391	eFA+F68	980 days
XWF5M6R2	0.757575758	eFA+F68	980 days
XWF5M6R3	0.689320388	eFA+F68	980 days
XWF6M6R1	0.661129568	fGA+F68	980 days
XWF6M6R2	0.712280702	fGA+F68	980 days
XWF6M6R3	0.653136531	fGA+F68	980 days
